PERIOD,DIVISION_NAME,DEPT_GROUP_NAME,SALE_AMT,SALE_QTY,SALE_AMT_LY,SALE_QTY_LY
202604,03 SOFT LINE,0310 LADIES APPAREL,108024.28,330.0,56077.51,287.0
202607,05 FRESH FOOD,0550 BAKERY,6572.9,319.0,3919.62,190.0
202603,02 HOME LINE,0230 RECREATION,179645.78,888.0,197401.4,885.0
202602,03 SOFT LINE,0370 PERSONAL CARE,24510.29,468.0,19002.79,402.0
202607,03 SOFT LINE,0340 BABY ACCESSORIES,1995.33,24.0,1000.94,15.0
202602,05 FRESH FOOD,0510 BUTCHERY,1313236.74,13574.14,1365506.51,14812.01
202604,02 HOME LINE,0220 HOME DECOR,221238.25,1044.0,273090.75,1217.0
202601,06 PHARMACY,0620 OVER THE COUNTER,3330.84,56.0,6101.87,176.0
202606,03 SOFT LINE,0380 CHILDREN,40382.21,513.0,83429.83,783.0
202607,06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,0.0,0.0,45.79,2.0
202604,03 SOFT LINE,0322 MEN ESSENTIAL,47597.24,325.0,62124.87,571.0
202602,05 FRESH FOOD,0530 PRODUCE,514461.05,12723.15,399017.56,9181.13
202601,04 DRY FOOD,0442 BEVERAGE_SME,609.35,12.0,2055.14,56.0
202605,05 FRESH FOOD,0560 PERISHABLE,6971.97,177.0,6654.2,203.0
202607,05 FRESH FOOD,0560 PERISHABLE,28954.83,473.0,26226.76,481.0
202606,04 DRY FOOD,0470 HOUSEHOLD,1157.94,13.0,8029.91,43.0
202601,04 DRY FOOD,0480 PETS,148404.75,2507.0,175336.49,2515.0
202602,04 DRY FOOD,0470 HOUSEHOLD,1058969.18,16467.0,2771256.07,30303.0
202602,04 DRY FOOD,0461 FACE & COSMETICS,301548.49,3798.0,278208.32,3483.0
202602,01 HARD LINE,0112 MAJOR APPLIANCE,517717.77,79.0,680947.66,109.0
202602,04 DRY FOOD,0460 HBA,649.53,7.0,767.29,8.0
202604,04 DRY FOOD,0490 TOBACCO,0.0,0.0,2287017.85,3754.0
202607,05 FRESH FOOD,0540 DELICATESSEN,14.02,1.0,18.69,1.0
202606,04 DRY FOOD,0410 SWEETED GROCE.1,1180468.77,6989.0,2260080.17,12593.0
